epoch 0  | loss: 0.2915  | val_0_balanced_accuracy: 0.59133 | val_0_accuracy: 0.98608 |  0:01:02s
epoch 1  | loss: 0.04523 | val_0_balanced_accuracy: 0.79485 | val_0_accuracy: 0.99285 |  0:02:02s
epoch 2  | loss: 0.02765 | val_0_balanced_accuracy: 0.86332 | val_0_accuracy: 0.99412 |  0:03:02s
epoch 3  | loss: 0.02061 | val_0_balanced_accuracy: 0.9545  | val_0_accuracy: 0.99631 |  0:04:01s
epoch 4  | loss: 0.01647 | val_0_balanced_accuracy: 0.95649 | val_0_accuracy: 0.99693 |  0:05:01s
epoch 5  | loss: 0.01375 | val_0_balanced_accuracy: 0.97864 | val_0_accuracy: 0.99724 |  0:06:01s
epoch 6  | loss: 0.01211 | val_0_balanced_accuracy: 0.97831 | val_0_accuracy: 0.99788 |  0:07:01s
epoch 7  | loss: 0.01074 | val_0_balanced_accuracy: 0.97799 | val_0_accuracy: 0.99772 |  0:08:00s
epoch 8  | loss: 0.00984 | val_0_balanced_accuracy: 0.98823 | val_0_accuracy: 0.99823 |  0:08:59s
epoch 9  | loss: 0.00891 | val_0_balanced_accuracy: 0.98953 | val_0_accuracy: 0.99828 |  0:09:58s
epoch 10 | loss: 0.00841 | val_0_balanced_accuracy: 0.98841 | val_0_accuracy: 0.99843 |  0:10:59s
epoch 11 | loss: 0.00775 | val_0_balanced_accuracy: 0.98948 | val_0_accuracy: 0.9982  |  0:11:59s
epoch 12 | loss: 0.00757 | val_0_balanced_accuracy: 0.98986 | val_0_accuracy: 0.99838 |  0:12:59s
epoch 13 | loss: 0.00734 | val_0_balanced_accuracy: 0.98649 | val_0_accuracy: 0.99856 |  0:14:00s
epoch 14 | loss: 0.0071  | val_0_balanced_accuracy: 0.98968 | val_0_accuracy: 0.99836 |  0:14:59s
epoch 15 | loss: 0.00689 | val_0_balanced_accuracy: 0.98973 | val_0_accuracy: 0.9986  |  0:15:59s
epoch 16 | loss: 0.0065  | val_0_balanced_accuracy: 0.99009 | val_0_accuracy: 0.99855 |  0:17:00s
epoch 17 | loss: 0.00623 | val_0_balanced_accuracy: 0.98968 | val_0_accuracy: 0.99867 |  0:18:00s
epoch 18 | loss: 0.00611 | val_0_balanced_accuracy: 0.98984 | val_0_accuracy: 0.99861 |  0:19:00s
epoch 19 | loss: 0.00595 | val_0_balanced_accuracy: 0.98985 | val_0_accuracy: 0.99855 |  0:20:00s
epoch 20 | loss: 0.00578 | val_0_balanced_accuracy: 0.9905  | val_0_accuracy: 0.99847 |  0:21:00s
epoch 21 | loss: 0.00549 | val_0_balanced_accuracy: 0.99043 | val_0_accuracy: 0.99883 |  0:22:00s
epoch 22 | loss: 0.00521 | val_0_balanced_accuracy: 0.99043 | val_0_accuracy: 0.9986  |  0:23:00s
epoch 23 | loss: 0.0052  | val_0_balanced_accuracy: 0.98974 | val_0_accuracy: 0.99831 |  0:24:00s
epoch 24 | loss: 0.00518 | val_0_balanced_accuracy: 0.99071 | val_0_accuracy: 0.99874 |  0:25:00s
epoch 25 | loss: 0.00518 | val_0_balanced_accuracy: 0.99066 | val_0_accuracy: 0.99901 |  0:25:59s
epoch 26 | loss: 0.00503 | val_0_balanced_accuracy: 0.99062 | val_0_accuracy: 0.99897 |  0:26:59s
epoch 27 | loss: 0.00487 | val_0_balanced_accuracy: 0.99099 | val_0_accuracy: 0.99879 |  0:27:58s
epoch 28 | loss: 0.00467 | val_0_balanced_accuracy: 0.99075 | val_0_accuracy: 0.99904 |  0:28:56s
epoch 29 | loss: 0.00487 | val_0_balanced_accuracy: 0.99062 | val_0_accuracy: 0.99894 |  0:29:54s
Stop training because you reached max_epochs = 30 with best_epoch = 28 and best_val_0_accuracy = 0.99904
