id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time
1997029,172.31.65.59-151.101.128.217-51043-443-6,172.31.65.59,51043,151.101.128.217,443,6,10:08.8,40144202,15,21,732,19161,442,0,48.8,121.1682419,1460,0,912.4285714,672.098696,495.5385587,0.89676711,1146977.2,3228011.789,10004243,0,40133047,2866646.214,4690078.229,10015523,25,40133075,2006653.75,4108378.877,10015530,0,3,5,0,0,0,1,312,468,0.373652962,0.523114147,0,1460,552.5833333,671.163228,450460.0786,0,2,1,8,34,0,1,1,1.4,552.5833333,48.8,912.4285714,0,0,0,15772,12,670150,0,20,0,532,8192,0,7,20,29201.75,35763.60699,82847,11223,10004060,178.8984815,10004243,10003814,-1,-1,40144202
6635534,18.219.193.20-172.31.69.25-49854-80-6,18.219.193.20,49854,172.31.69.25,80,6,53:03.2,185492,6,5,304,935,304,0,50.66666667,124.1074803,935,0,187,418.1447118,6679.533349,59.30174886,18549.2,17675.73328,45204,4,185486,37097.2,19017.28871,64389,16559,185488,46372,37787.76159,85050,27,1,1,0,0,0,0,200,168,32.34640847,26.95534039,0,935,112.6363636,287.5907762,82708.45455,2,2,0,2,10,0,0,0,0.833333333,112.6363636,50.66666667,187,0,0,0,0,0,0,0,27,0,85,26883,219,1,32,0,0,0,0,0,0,0,0,-1,-1,185492
1050219,172.31.64.28-13.58.138.112-50455-443-6,172.31.64.28,50455,13.58.138.112,443,6,53:04.0,103769140,23,16,22051,789,14600,0,958.7391304,3074.17599,311,0,49.3125,78.556747,220.1039731,0.37583428,2730766.842,6806742.923,19953204,14,103769140,4716779.091,8474580.347,19953204,79,103711316,6914087.733,9618346.451,20014944,163,13,10,0,0,0,0,472,328,0.221645857,0.154188422,0,14600,585.6410256,2383.103168,5679180.71,0,2,0,23,38,0,1,1,0.695652174,585.6410256,958.7391304,49.3125,19830,4,446853,0,0,0,0,565,0,20,8192,143,14,20,112954.2,105914.527,302041,61392,19928547.8,30346.41658,19953204,19875558,-1,-1,103769140
4153460,172.31.64.52-209.85.202.95-49574-443-6,172.31.64.52,49574,209.85.202.95,443,6,30:46.4,117965436,16,17,1252,6108,602,0,78.25,153.5840704,1430,0,359.2941176,537.5186932,62.39115668,0.279742958,3686419.875,14370657.94,58497240,1,117965436,7864362.4,20572372.48,58633660,56,117825270,7364079.375,19994885.61,58593680,1,8,10,0,0,0,0,332,352,0.135632949,0.144110009,0,1430,223.030303,419.3624987,175864.9053,0,2,0,18,32,0,0,0,1.0625,223.030303,78.25,359.2941176,0,0,0,2419,5,395649,0,37,0,185,8192,181,8,20,445694,431777.7854,751007,140381,58466831,43004.82022,58497240,58436422,-1,-1,117965436
5541794,172.31.64.57-172.31.0.2-61477-53-17,172.31.64.57,61477,172.31.0.2,53,17,01:40.4,1002,1,1,47,132,47,47,47,0,132,132,132,0,178642.7146,1996.007984,1002,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,998.003992,998.003992,47,132,89.5,60.1040764,3612.5,0,0,0,0,0,0,0,0,1,89.5,47,132,0,0,0,0,0,0,0,23,0,66,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0
5709830,18.221.219.4-172.31.69.25-50640-21-6,18.221.219.4,50640,172.31.69.25,21,6,25:45.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,1000000,1000000,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26883,0,0,40,0,0,0,0,0,0,0,0,-1,-1,1
5827136,18.218.229.235-172.31.69.25-58025-80-6,18.218.229.235,58025,172.31.69.25,80,6,28:39.0,38653350,5,4,20,964,20,0,4,8.94427191,964,0,241,482,25.45704318,0.23283881,4831668.75,13336948.31,37831268,4,38653350,9663337.5,18782613.29,37831268,21,821780,273926.6667,474114.5872,821387,25,1,1,0,0,1,0,112,92,0.129354894,0.103483915,0,964,109.3333333,320.5682455,102764,1,2,1,2,8,0,1,1,0.8,109.3333333,4,241,0,0,0,0,0,0,0,2,0,107,8192,211,1,20,822082,0,822082,822082,37831268,0,37831268,37831268,-1,-1,38653350
5855580,18.218.55.126-172.31.69.25-60507-80-6,18.218.55.126,60507,172.31.69.25,80,6,34:27.1,2424599,5,4,20,964,20,0,4,8.94427191,964,0,241,482,405.840306,3.711954018,303074.875,567678.4594,1375190,9,2424599,606149.75,712301.6669,1375606,24,1375649,458549.6667,793833.8381,1375190,37,1,1,0,0,1,0,112,92,2.062196677,1.649757341,0,964,109.3333333,320.5682455,102764,1,2,1,2,8,0,1,1,0.8,109.3333333,4,241,0,0,0,0,0,0,0,2,0,107,8192,211,1,20,0,0,0,0,0,0,0,0,-1,-1,2424599
6037745,18.218.55.126-172.31.69.25-56795-80-6,18.218.55.126,56795,172.31.69.25,80,6,01:47.7,32622122,5,4,20,964,20,0,4,8.94427191,964,0,241,482,30.16358041,0.275886406,4077765.25,10945026.01,31134728,5,32622122,8155530.5,15335489.52,31134728,102,1486777,495592.3333,858018.7313,1486347,25,1,1,0,0,1,0,112,92,0.153270226,0.122616181,0,964,109.3333333,320.5682455,102764,1,2,1,2,8,0,1,1,0.8,109.3333333,4,241,0,0,0,0,0,0,0,2,0,107,8192,211,1,20,1487394,0,1487394,1487394,31134728,0,31134728,31134728,-1,-1,32622122
4412370,182.75.14.238-172.31.69.23-58029-445-6,182.75.14.238,58029,172.31.69.23,445,6,51:16.5,1045482,5,4,286,170,103,0,57.2,52.48523602,131,0,42.5,61.79805822,436.162459,8.608469586,130685.25,180001.9572,348510,34,1045392,261348,173778.6644,348844,682,1045448,348482.6667,205.5488587,348679,348269,3,2,0,0,0,1,112,92,4.782483103,3.825986483,0,131,50.66666667,53.56771416,2869.5,0,2,1,5,8,0,0,0,0.8,50.66666667,57.2,42.5,0,0,0,0,0,0,0,31,0,18,8192,0,3,20,0,0,0,0,0,0,0,0,-1,-1,1045482
936288,172.31.67.28-172.31.0.2-53912-53-17,172.31.67.28,53912,172.31.0.2,53,17,07:29.1,285,1,1,44,108,44,44,44,0,108,108,108,0,533333.3333,7017.54386,285,0,285,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3508.77193,3508.77193,44,108,76,45.254834,2048,0,0,0,0,0,0,0,0,1,76,44,108,0,0,0,0,0,0,0,22,0,54,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0
5401059,172.31.65.19-172.31.0.2-56494-53-17,172.31.65.19,56494,172.31.0.2,53,17,52:38.8,243,1,1,44,60,44,44,44,0,60,60,60,0,427983.5391,8230.452675,243,0,243,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4115.226337,4115.226337,44,60,52,11.3137085,128,0,0,0,0,0,0,0,0,1,52,44,60,0,0,0,0,0,0,0,22,0,30,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0
7040098,18.219.193.20-172.31.69.25-36312-80-6,18.219.193.20,36312,172.31.69.25,80,6,55:46.5,134228,5,5,362,935,362,0,72.4,161.8913216,935,0,187,418.1447118,9662.663528,74.5001043,14914.22222,17520.446,47436,8,134219,33554.75,21575.73766,54436,7129,134220,33555,14714.49483,54565,22132,1,1,0,0,0,0,168,168,37.25005215,37.25005215,0,935,129.7,304.9677761,93005.34444,2,2,0,2,9,0,0,0,1,129.7,72.4,187,0,0,0,0,0,0,0,36,0,93,26883,219,1,32,0,0,0,0,0,0,0,0,-1,-1,134228
6297208,18.218.115.60-172.31.69.28-59725-80-6,18.218.115.60,59725,172.31.69.28,80,6,28:46.7,18038,5,5,316,935,316,0,63.2,141.3194962,935,0,187,418.1447118,69353.58687,554.3851868,2004.222222,5486.735955,16626,4,18034,4508.5,8079.382753,16626,292,18033,4508.25,8275.048454,16908,26,1,1,0,0,0,0,112,112,277.1925934,277.1925934,0,935,125.1,301.4006009,90842.32222,2,2,0,2,9,0,1,1,1,125.1,63.2,187,0,0,0,0,0,0,0,31,0,93,65535,219,1,20,0,0,0,0,0,0,0,0,-1,-1,18038
